CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
09/11/2021,2:39,,,,,,WHITESTONE EXPRESSWAY,20 AVENUE,,2,0,0,0,0,0,2,0,Aggressive Driving/Road Rage,Unspecified,,,,4455765,Sedan,Sedan,,,
03/26/2022,11:45,,,,,,QUEENSBORO BRIDGE UPPER,,,1,0,0,0,0,0,1,0,Pavement Slippery,,,,,4513547,Sedan,,,,
06/29/2022,6:55,,,,,,THROGS NECK BRIDGE,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4541903,Sedan,Pick-up Truck,,,
09/11/2021,9:35,BROOKLYN,11208,40.667202,-73.8665,"(40.667202, -73.8665)",,,1211      LORING AVENUE,0,0,0,0,0,0,0,0,Unspecified,,,,,4456314,Sedan,,,,
12/14/2021,8:13,BROOKLYN,11233,40.683304,-73.917274,"(40.683304, -73.917274)",SARATOGA AVENUE,DECATUR STREET,,0,0,0,0,0,0,0,0,,,,,,4486609,,,,,
04/14/2021,12:47,,,,,,MAJOR DEEGAN EXPRESSWAY RAMP,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4407458,Dump,Sedan,,,
12/14/2021,17:05,,,40.709183,-73.956825,"(40.709183, -73.956825)",BROOKLYN QUEENS EXPRESSWAY,,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4486555,Sedan,Tractor Truck Diesel,,,
12/14/2021,8:17,BRONX,10475,40.86816,-73.83148,"(40.86816, -73.83148)",,,344       BAYCHESTER AVENUE,2,0,0,0,0,0,2,0,Unspecified,Unspecified,,,,4486660,Sedan,Sedan,,,
12/14/2021,21:10,BROOKLYN,11207,40.67172,-73.8971,"(40.67172, -73.8971)",,,2047      PITKIN AVENUE,0,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,,,,4487074,Sedan,,,,
12/14/2021,14:58,MANHATTAN,10017,40.75144,-73.97397,"(40.75144, -73.97397)",3 AVENUE,EAST 43 STREET,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4486519,Sedan,Station Wagon/Sport Utility Vehicle,,,
12/13/2021,0:34,,,40.701275,-73.88887,"(40.701275, -73.88887)",MYRTLE AVENUE,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4486934,Station Wagon/Sport Utility Vehicle,,,,
12/14/2021,16:50,QUEENS,11413,40.675884,-73.75577,"(40.675884, -73.75577)",SPRINGFIELD BOULEVARD,EAST GATE PLAZA,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,4487127,Sedan,Station Wagon/Sport Utility Vehicle,,,
12/14/2021,8:30,,,,,,broadway,west 80 street -west 81 street,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,4486634,Station Wagon/Sport Utility Vehicle,Sedan,,,
12/14/2021,0:59,,,40.59662,-74.00231,"(40.59662, -74.00231)",BELT PARKWAY,,,0,0,0,0,0,0,0,0,Unsafe Speed,,,,,4486564,Sedan,,,,
12/14/2021,23:10,QUEENS,11434,40.66684,-73.78941,"(40.66684, -73.78941)",NORTH CONDUIT AVENUE,150 STREET,,2,0,0,0,0,0,2,0,Reaction to Uninvolved Vehicle,Unspecified,,,,4486635,Sedan,Sedan,,,
12/14/2021,17:58,BROOKLYN,11217,40.68158,-73.97463,"(40.68158, -73.97463)",,,480       DEAN STREET,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4486604,Tanker,Station Wagon/Sport Utility Vehicle,,,
12/14/2021,20:03,BROOKLYN,11226,40.65068,-73.95881,"(40.65068, -73.95881)",,,878       FLATBUSH AVENUE,4,0,0,0,0,0,4,0,Steering Failure,,,,,4486991,Sedan,,,,
12/14/2021,1:28,,,,,,MEEKER AVENUE,LORIMER STREET,,3,0,0,0,0,0,3,0,Traffic Control Disregarded,Unspecified,,,,4486284,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
12/11/2021,19:43,BRONX,10463,40.87262,-73.904686,"(40.87262, -73.904686)",WEST KINGSBRIDGE ROAD,HEATH AVENUE,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,4487040,Station Wagon/Sport Utility Vehicle,Sedan,,,
12/14/2021,14:30,,,40.783268,-73.82485,"(40.783268, -73.82485)",WHITESTONE EXPRESSWAY,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,Unspecified,,,4486537,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,,
12/11/2021,4:45,MANHATTAN,10001,40.748917,-73.993546,"(40.748917, -73.993546)",,,232       WEST 30 STREET,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4486905,Station Wagon/Sport Utility Vehicle,,,,
12/14/2021,5:46,,,40.744644,-73.77041,"(40.744644, -73.77041)",LONG ISLAND EXPRESSWAY,,,1,0,0,0,0,0,1,0,Other Vehicular,Other Vehicular,,,,4487122,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
12/13/2021,6:30,QUEENS,11372,40.75373,-73.88505,"(40.75373, -73.88505)",82 STREET,34 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,4486967,Sedan,,,,
12/14/2021,3:43,,,40.804375,-73.93742,"(40.804375, -73.93742)",LEXINGTON AVENUE,,,1,0,1,0,0,0,0,0,Unspecified,,,,,4486304,Station Wagon/Sport Utility Vehicle,,,,
12/13/2021,17:40,STATEN ISLAND,10301,40.63165,-74.08762,"(40.63165, -74.08762)",VICTORY BOULEVARD,WOODSTOCK AVENUE,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,4487001,Sedan,Sedan,,,
12/14/2021,17:31,BROOKLYN,11230,40.623104,-73.95809,"(40.623104, -73.95809)",EAST 18 STREET,AVENUE K,,1,0,1,0,0,0,0,0,Unspecified,,,,,4486516,Sedan,,,,
12/14/2021,20:13,BROOKLYN,11215,40.66576,-73.9845,"(40.66576, -73.9845)",,,366       12 STREET,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4486605,Sedan,,,,
12/14/2021,12:54,BROOKLYN,11217,40.687534,-73.9775,"(40.687534, -73.9775)",FULTON STREET,SAINT FELIX STREET,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,4487052,Sedan,Bike,,,
12/14/2021,17:15,BROOKLYN,11211,40.710957,-73.951126,"(40.710957, -73.951126)",GRAND STREET,UNION AVENUE,,1,0,0,0,0,0,1,0,Passing or Lane Usage Improper,Unspecified,,,,4486556,Bus,Station Wagon/Sport Utility Vehicle,,,
12/14/2021,22:49,BRONX,10455,40.81813,-73.910126,"(40.81813, -73.910126)",,,713       EAGLE AVENUE,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4486875,Taxi,,,,
12/12/2021,9:00,QUEENS,11385,40.70447,-73.90148,"(40.70447, -73.90148)",,,59-14     67 AVENUE,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4486933,Station Wagon/Sport Utility Vehicle,,,,
12/14/2021,16:25,,,40.784615,-73.953964,"(40.784615, -73.953964)",EAST 93 STREET,,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4486581,Van,Bike,,,
04/14/2021,14:30,,,,,,EASTCHESTER ROAD,PELHAM PARKWAY NORTH,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4407520,Bus,,,,
12/16/2021,6:59,,,,,,KINGSLAND AVENUE,MEEKER AVENUE,,1,0,1,0,0,0,0,0,Traffic Control Disregarded,,,,,4486960,,,,,
06/29/2022,16:00,,,,,,WILLIAMSBURG BRIDGE OUTER ROADWA,,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,4542336,Motorscooter,Station Wagon/Sport Utility Vehicle,,,
04/15/2021,16:15,,,,,,HUTCHINSON RIVER PARKWAY,,,0,0,0,0,0,0,0,0,Pavement Slippery,,,,,4407665,Station Wagon/Sport Utility Vehicle,,,,
07/07/2021,11:42,,,,,,THROGS NECK BRIDGE,,,1,0,0,0,0,0,1,0,Unsafe Lane Changing,Unspecified,,,,4456591,Sedan,Sedan,,,